date,predicted_close,actual_close
2024-08-01,17432.484,17194.150390625
2024-08-02,17077.451,16776.16015625
2024-08-05,16348.493,16200.080078125
2024-08-06,16372.226,16366.849609375
2024-08-07,16336.795,16195.8095703125
2024-08-08,16694.51,16660.01953125
2024-08-09,16685.207,16745.30078125
2024-08-12,16847.168,16780.609375
2024-08-13,17155.854,17187.609375
2024-08-14,17195.066,17192.599609375
2024-08-15,17515.14,17594.5
2024-08-16,17556.465,17631.720703125
2024-08-19,17788.984,17876.76953125
2024-08-20,17762.941,17816.939453125
2024-08-21,17918.586,17918.990234375
2024-08-22,17775.201,17619.349609375
2024-08-23,17958.133,17877.7890625
2024-08-26,17782.74,17725.76953125
2024-08-27,17805.66,17754.8203125
2024-08-28,17652.154,17556.029296875
2024-08-29,17643.514,17516.4296875
2024-08-30,17743.982,17713.619140625
2024-09-03,17372.13,17136.30078125
2024-09-04,17279.531,17084.30078125
2024-09-05,17222.629,17127.66015625
2024-09-06,16976.168,16690.830078125
2024-09-09,17023.664,16884.599609375
2024-09-10,17077.543,17025.880859375
2024-09-11,17315.082,17395.529296875
2024-09-12,17411.822,17569.6796875
2024-09-13,17671.156,17683.98046875
2024-09-16,17650.086,17592.130859375
2024-09-17,17710.756,17628.060546875
2024-09-18,17686.947,17573.30078125
2024-09-19,18003.379,18013.98046875
2024-09-20,17956.373,17948.3203125
2024-09-23,17942.324,17974.26953125
2024-09-24,18093.207,18074.51953125
2024-09-25,18106.012,18082.2109375
2024-09-26,18237.45,18190.2890625
2024-09-27,18210.746,18119.58984375
2024-09-30,18243.826,18189.169921875
2024-10-01,18043.844,17910.359375
2024-10-02,18049.36,17925.119140625
2024-10-03,17984.914,17918.48046875
2024-10-04,18174.879,18137.849609375
2024-10-07,18055.898,17923.900390625
2024-10-08,18251.559,18182.919921875
2024-10-09,18295.527,18291.619140625
2024-10-10,18325.498,18282.05078125
2024-10-11,18355.05,18342.939453125
2024-10-14,18523.146,18502.689453125
2024-10-15,18467.092,18315.58984375
2024-10-16,18468.965,18367.080078125
2024-10-17,18477.613,18373.609375
2024-10-18,18573.828,18489.55078125
2024-10-21,18575.766,18540.009765625
2024-10-22,18585.512,18579.76953125
2024-10-23,18426.535,18276.650390625
2024-10-24,18514.045,18415.490234375
2024-10-25,18556.424,18518.609375
2024-10-28,18651.11,18567.189453125
2024-10-29,18729.086,18712.75
2024-10-30,18685.414,18607.9296875
2024-10-31,18410.59,18095.150390625
